"","Name","2018Ridership","Rank2018","geometry"
"250","47-50 Sts-Rockefeller Center",61027,11,c(-73.981331002277, 40.7586410015981)
"251","49 St",25911,44,c(-73.984209565911, 40.7598019738707)
"252","5 Av-53 St",27612,36,c(-73.9752485052734, 40.7600868323133)
"253","5 Av-59 St",16638,81,c(-73.9733470004705, 40.7648109997553)
"254","50 St",26268,41,c(-73.9838489998663, 40.7617279996142)
"255","50 St",19757,69,c(-73.9859840002641, 40.76245599926)
"256","57 St",7638,197,c(-73.9773680008517, 40.7640850008171)
"257","57 St-7 Av",37870,24,c(-73.9807297337213, 40.7645655250183)
"258","59 St-Columbus Circle",73003,8,c(-73.981648723014, 40.7682495317761)
"259","66 St-Lincoln Center",22890,56,c(-73.9822089999578, 40.7734400005204)
"260","68 St-Hunter College",22757,57,c(-73.9638700015804, 40.7681410004968)
"261","7 Av",17947,77,c(-73.9802511790094, 40.6662446900199)
"262","72 St",39477,23,c(-73.976336575218, 40.7755193972926)
"263","72 St",4472,310,c(-73.9819700015958, 40.7784530006861)
"264","72 St",30253,33,c(-73.9583617868225, 40.768802510149)
"265","77 St",25369,47,c(-73.9598739988605, 40.7736200007461)
"266","79 St",15175,95,c(-73.9799170005613, 40.7839339995903)
"267","8 St-New York University",17192,80,c(-73.9925079984915, 40.7304649985399)
"268","81 St-Museum of Natural History",15383,94,c(-73.9720979493721, 40.7813460841821)
"269","86 St",19325,73,c(-73.9762179985933, 40.7886440007389)
"270","86 St",43169,20,c(-73.9555889998513, 40.7794919982095)
"271","Nostrand Av",17437,79,c(-73.9504260009968, 40.6804380000623)
"272","Ocean Pkwy",3199,358,c(-73.9685009997518, 40.5763116670809)
"273","Park Pl",1725,406,c(-73.9576240007463, 40.6747716668526)
"274","Parksde Av",6050,251,c(-73.9614534398765, 40.6550730416372)
"275","Pennylvania Av",4331,316,c(-73.8948859115406, 40.6647144514357)
"276","President St",4019,323,c(-73.9505892002221, 40.6678836035368)
"277","Prospect Av",5523,269,c(-73.9928720006742, 40.6654136671298)
"278","Prospect Park",10059,159,c(-73.9620313042661, 40.6616334551018)
"279","Ralph Av",5768,261,c(-73.9207859993331, 40.6788220008734)
"280","Rockaway Av",4747,297,c(-73.9089583358445, 40.6626174881522)
"281","Rockaway Av",5667,265,c(-73.9119459972662, 40.6783399998835)
"282","Saratoga Av",5246,280,c(-73.9163302500795, 40.6615297898075)
"283","Sheepshead Bay",13946,109,c(-73.9540579125791, 40.5865475470754)
"284","Shepherd Av",3182,361,c(-73.8807499974727, 40.6741300014559)
"285","Smith-9 Sts",4689,300,c(-73.9958917279093, 40.6736410609041)
"286","Sterling St",5684,264,c(-73.9507289112494, 40.6627729934283)
"287","Sutter Av",4029,322,c(-73.9019160004208, 40.669145000614)
"288","Sutter Av-Rutland Rd",6657,231,c(-73.92252118536, 40.6647667887749)
"289","Union St",6835,227,c(-73.9831099990967, 40.677315667351)
"290","Utica Av",16121,85,c(-73.9307289991403, 40.6793639995055)
"291","Van Siclen Av",2904,371,c(-73.8894049173011, 40.6655179630596)
"292","Van Siclen Av",3021,368,c(-73.8903580002471, 40.672709999061)
"293","Van Siclen Av",2678,376,c(-73.8916577270245, 40.6780282144778)
